id,artist,title,year
12848302,Susan Boyle,Someone To Watch Over Me = 星光守護,2011
4029104,Susan Boyle,Standing Ovation: The Greatest Songs From The Stage,2012
10230194,Susan Boyle,I Dreamed A Dream,2009
14239092,Susan Boyle,Standing Ovation: The Greatest Songs From The Stage,2012
13965059,Susan Boyle,The Gift,2010
12481867,Susan Boyle,I Dreamed A Dream,2009
6327809,Susan Boyle,Hope,2014
14405614,Susan Boyle,I Dreamed A Dream,2009
9156096,Susan Boyle,I Dreamed A Dream,2009
8633425,Susan Boyle,The Gift,2010
11151765,Susan Boyle,Someone To Watch Over Me,2011
15634759,Susan Boyle,Someone To Watch Over Me,2011
10452574,Susan Boyle,Someone To Watch Over Me,2011
5048987,Susan Boyle,Home For Christmas,2013
2316905,Susan Boyle,I Dreamed A Dream,2009
15673738,Susan Boyle,The Gift,2010
14412065,Susan Boyle,Someone To Watch Over Me,2011
11275830,Susan Boyle,I Dreamed A Dream (Album Sampler),2009
11809354,Susan Boyle,Perfect Day,2010
4071911,Susan Boyle,Standing Ovation: The Greatest Songs From The Stage,2012
18404050,Susan Boyle,I Dreamed A Dream,2009
6216690,Susan Boyle,Hope,2014
7804869,Susan Boyle,Standing Ovation: The Greatest Songs From The Stage,2012
8809857,Susan Boyle,The Gift,2010
11809331,Susan Boyle,The Gift,2010
7697202,Susan Boyle,Someone To Watch Over Me,2011
13713111,Susan Boyle,Wild Horses,0
7140566,Susan Boyle,Hope,2014
15735341,Susan Boyle,I Dreamed A Dream,2009
7906982,Susan Boyle,Album Instrumentals,2009
9002527,Susan Boyle,Home For Christmas,2013
6803413,Susan Boyle,Home For Christmas,2013
9656295,Susan Boyle,A Wonderful World,2016
2971204,Susan Boyle,I Dreamed A Dream,2009
7697192,Susan Boyle,I Dreamed A Dream,2009
10230203,Susan Boyle,Home For Christmas,2013
10230199,Susan Boyle,Standing Ovation (The Greatest Songs From The Stage),2012
11494699,Susan Boyle,Someone To Watch Over Me,2011
10232626,Susan Boyle,Someone To Watch Over Me,2011
7610947,Susan Boyle,Someone To Watch Over Me,2011
14031418,Susan Boyle,Someone To Watch Over Me,2011
15502876,Susan Boyle,Someone To Watch Over Me,2011
10606853,Susan Boyle,Someone To Watch Over Me,2011
7812239,Susan Boyle,Someone To Watch Over Me,2011
10230224,Susan Boyle,Hope,2014
11809450,Susan Boyle,Wild Horses,2009
10149595,Susan Boyle,The Gift,2010
7716203,Susan Boyle,Someone To Watch Over Me,2011
7804830,Susan Boyle,Hope,2014
11809370,Susan Boyle,You Have To Be There,2011
2560775,Kesha,Cannibal,2010
2783462,Kesha,I Am The Dance Commander + I Command You To Dance: The Remix Album,2011
4594044,Kesha,Warrior,2013
10208002,Kesha,Animal,2010
8817914,Kesha,Warrior,2012
11312588,Kesha,Animal + Cannibal,2010
3724189,Kesha,TiK ToK,2009
4986134,Kesha,Animal,2010
10331908,Kesha,Cannibal,2011
8334563,Kesha,Animal,2010
12109895,Kesha,Rainbow,2017
6234271,Kesha,We R Who We R,2011
10410711,KESHA (3),KESHA,0
13244979,Kesha,Animal,2019
2021998,Kesha,TiK ToK,2009
6891255,Kesha,Your Love Is My Drug (Radio Edit),0
8300665,Kesha,I Am The Dance Commander + I Command You To Dance: The Remix Album,2011
10562819,Kesha,Praying,2017
2680442,Kesha,Animal + Cannibal,2011
10704827,Kesha,Rainbow,2017
4079243,Kesha,Warrior,2012
3020844,Kesha,Blow,2011
2785455,Kesha,I Am The Dance Commander + I Command You To Dance: The Remix Album,2011
3208707,Kesha,We R Who We R,2011
3346133,Kesha,Your Love Is My Drug Remixes,2010
2596283,Kesha,Your Love Is My Drug,2010
10207968,Kesha,Warrior,2012
