id,artist,title,year
4161028,Huey Lewis & The News,Sports,1984
7983506,Huey Lewis & The News,The Very Best Of Huey Lewis And The News,1985
7952623,Huey Lewis & The News,Hope You Love Me Like You Say You Do,1982
8179997,Huey Lewis & The News,Hard At Play,1991
1702616,Huey Lewis & The News,Heart And Soul = Corazón Y Alma,1984
9435607,Huey Lewis & The News,Hip To Be Square,1986
11512156,Huey Lewis & The News,Fore!,1989
9192460,Huey Lewis & The News,Sports,1983
11768511,Huey Lewis & The News,The Power Of Love,1985
3243497,Huey Lewis & The News,Stuck With You,1986
14835947,Huey Lewis & The News,The Power Of Love,1986
11592657,Huey Lewis & The News,Fore!,1986
14701211,Huey Lewis & The News,Fore!,1986
10274921,Huey Lewis & The News,Greatest Hits,2014
7202817,Huey Lewis & The News,Naturally,1987
15719186,Huey Lewis & The News,Fore!,2005
16841991,Huey Lewis & The News,Fore!,1986
17239483,Huey Lewis & The News,Fore!,1986
18130294,Huey Lewis & The News,Sports,0
15663522,Huey Lewis & The News,Stuck With You,1986
15721502,Huey Lewis & The News,Off The Record Specials With Mary Turner,1984
3242933,Huey Lewis & The News,Sports,1984
11335736,Huey Lewis & The News,Fore!,0
16163179,Huey Lewis & The News,Sports,0
16700718,Huey Lewis & The News,Deportes = Sports,1983
17527579,Huey Lewis & The News,Sports,1983
10122843,Huey Lewis & The News,Hard At Play,1991
911271,Huey Lewis & The News,Fore!,1986
4664431,Huey Lewis & The News,Sports,1983
910802,Huey Lewis & The News,Huey Lewis And The News,1983
1349365,Huey Lewis & The News,Fore!,1986
1844687,Huey Lewis & The News,The Heart Of Rock & Roll,1984
1118209,Huey Lewis & The News,Sports,1985
15997031,Huey Lewis & The News,Sports,0
9996560,Huey Lewis & The News,Fore!,0
16261750,Huey Lewis & The News,Sports,0
12869902,Huey Lewis & The News,Sports,1983
11867281,Huey Lewis & The News,Sports,2006
17930542,Huey Lewis & The News,Hip To Be Square,1986
11361516,Huey Lewis & The News,Special DJ Copy On CD,1988
14497475,Huey Lewis & The News,While We're Young,2019
14201209,Huey Lewis & The News,Her Love Is Killin' Me,2019
1356047,Huey Lewis & The News,Power Of Love,1985
10679621,Huey Lewis & The News,World To Me,1988
5048406,Huey Lewis & The News,The Power Of Love / I Want A New Drug,1995
1605916,Huey Lewis & The News,Huey Lewis & The News Live,2005
9030333,Huey Lewis & The News,Jacob's Ladder,1986
3742275,Huey Lewis & The News,Small World,1988
