album,artist,issue_date
Chicago IX: Chicago's Greatest Hits,Chicago,January 3
Gratitude,"Earth, Wind & Fire",January 17
Desire,Bob Dylan,February 7
Their Greatest Hits (1971-1975),Eagles,March 13
Frampton Comes Alive!,Peter Frampton,April 10
Wings at the Speed of Sound,Wings,April 24
Presence,Led Zeppelin,May 1
Black and Blue,The Rolling Stones,May 15
Breezin',George Benson,July 31
Fleetwood Mac,Fleetwood Mac,September 4
Songs in the Key of Life,Stevie Wonder,October 16
